GEOID,STATE,COUNTY,CNTY_FIPS,STUSAB,hh1_t,median_hh_income,hh1_h,hh1_ht,autos_per_hh,pct_transit_j2w,households,pct_renters,median_commute
53033026001,53,33,53033,WA,21.36889978,72079,27.28018394,48.64908372,2.061734444,10.27480435,2041,22.80542986,9.41
53033026100,53,33,53033,WA,19.67390484,50895,26.50122156,46.1751264,1.688511951,10.25148025,2594,48.86058981,9.28
53033025702,53,33,53033,WA,22.22466524,85667,26.46931121,48.69397645,2.40192926,4.958776292,1244,26.74329502,11.44
53033003100,53,33,53033,WA,20.5497683,100468,26.71238289,47.26215118,1.741488964,21.39558691,2673,20.02156722,8.21
53033006500,53,33,53033,WA,15.50931509,94225,30.3475105,45.8568256,1.245431894,16.63799552,2408,53.55731225,5.7
53033024000,53,33,53033,WA,18.38473365,121083,30.37586206,48.7605957,1.757313433,8.851600573,3350,35.46099291,5.55
53033023900,53,33,53033,WA,20.44172975,142599,28.69203114,49.13376089,1.86032316,12.83330129,2785,26.40562249,6.48
53033028500,53,33,53033,WA,20.31599251,56801,25.3748486,45.69084111,1.869858809,8.902797045,1629,45.15380151,10.84
53033028901,53,33,53033,WA,20.43524141,67788,25.20839682,45.64363823,1.887774295,8.004544273,1595,40.45801527,10.64
53033032003,53,33,53033,WA,25.60595973,95725,25.46420225,51.07016198,2.678441558,1.593547599,1925,6.590114828,17.03
53033032800,53,33,53033,WA,26.69981326,88409,24.13180211,50.83161537,2.38336714,0.947575295,986,8.201701094,27.31
53033029004,53,33,53033,WA,19.27296335,35821,23.94405297,43.21701632,1.576740506,17.49989563,1264,63.24362606,14.81
53033029203,53,33,53033,WA,18.02472872,38451,23.6428637,41.66759243,1.330008313,14.37180406,1203,73.15026697,14.84
53033031906,53,33,53033,WA,24.28705964,103542,25.27951849,49.56657814,2.318965517,1.903440652,1392,8.539167255,13.36
53033032104,53,33,53033,WA,22.21349363,88264,26.67066815,48.88416179,1.861088871,5.805787317,2498,36.80692096,11.35
53033032315,53,33,53033,WA,25.8564975,132885,25.92667108,51.78316858,2.525172754,6.437670478,2026,15.22652966,10.9
53033028802,53,33,53033,WA,18.91935401,44621,24.99447258,43.91382658,1.701343736,15.30445393,2307,58.00796813,12.05
53033028801,53,33,53033,WA,20.94856564,64271,26.31643985,47.26500549,1.961126005,8.074660966,746,43.96014944,13.08
53033028700,53,33,53033,WA,22.03137539,77636,26.71740744,48.74878283,2.338043478,3.71948255,1840,13.57769747,12.16
53033028600,53,33,53033,WA,22.09704608,86968,26.09716079,48.19420687,2.122410546,1.769369553,2655,27.34177215,11.59
53033025400,53,33,53033,WA,17.908566,47490,24.10125355,42.00981955,1.562093628,9.236327803,3076,69.09990721,10.33
53033025200,53,33,53033,WA,20.88723628,77191,26.25019738,47.13743366,1.908084845,6.158390881,3253,30.33980583,9.72
53033025701,53,33,53033,WA,17.8699308,50048,25.19712619,43.06705699,1.431941924,4.546312296,2755,63.15433975,10.58
53033029001,53,33,53033,WA,21.27212721,59113,25.5661348,46.83826201,1.899804497,5.559323583,2046,24.49459332,12.31
53033025804,53,33,53033,WA,22.76589018,67396,26.6314528,49.39734298,2.179948586,6.090883182,1167,17.49427044,11.67
53033028902,53,33,53033,WA,18.95129535,42129,24.47509271,43.42638806,1.635140644,13.20014763,2453,59.44649446,11.02
53033032401,53,33,53033,WA,25.09518625,100192,25.170058,50.26524425,2.236111111,2.87803532,2160,16.12483745,13.45
53033000402,53,33,53033,WA,18.68852891,61184,25.94143947,44.62996838,1.560200669,17.2032546,2392,52.62944984,9.08
53033001500,53,33,53033,WA,21.33028822,100179,26.65757683,47.98786504,1.867633726,16.9095089,1103,21.26736111,7.75
53033006800,53,33,53033,WA,16.5727514,113750,29.79521631,46.36796771,1.479181369,19.21738496,1417,49.67277487,6.7
53033006700,53,33,53033,WA,14.01556172,100625,29.15855964,43.17412136,1.196644295,17.56957958,4470,62.05138662,3.52
53033006900,53,33,53033,WA,16.43015929,108341,30.03177469,46.46193397,1.538148984,19.07932536,2215,43.06695464,8.05
53033006000,53,33,53033,WA,16.93789875,102879,29.68124687,46.61914563,1.512350598,33.4342203,2510,43.19912949,6.75
53033006600,53,33,53033,WA,14.32397344,85625,28.71742606,43.0413995,1.069045412,23.33518269,2158,68.57749469,4.75
53033024702,53,33,53033,WA,22.72178214,109840,27.53248143,50.25426358,2.141843972,7.056066516,2961,15.85120643,8.47
53033031301,53,33,53033,WA,24.99116795,70179,24.84945192,49.84061988,2.424031778,0.636686055,1007,25.64356436,18.17
53033003300,53,33,53033,WA,17.49214739,92746,27.49963369,44.99178108,1.47675507,19.29071039,3205,50.09009009,6.87
53033007200,53,33,53033,WA,11.75242841,91300,28.237282,39.98971041,0.685756512,19.18898254,5413,85.31481147,3.58
53033003200,53,33,53033,WA,17.85298448,84846,26.7810753,44.63405978,1.551851852,19.99956664,4050,48.02246665,7.16
53033031205,53,33,53033,WA,22.6891589,66667,26.20265244,48.89181134,2.013205829,10.53997152,2196,27.76852623,12.56
